Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
B.Becker,A.Murray,1,0,0,3,59,29,41,14,5,1,26,18,5,1,28,19,,4,3,2,NA,NA,57,39,43,20,11,2,38,16,10,5,23,17,,6,6,6,NA,NA
J.Ward,Y-H.Lu,1,0,1,3,62,77,38,35,18,4,60,28,13,1,27,19,,7,4,6,6,NA,67,85,33,31,12,3,57,32,15,2,46,39,,6,6,7,7,NA
N.Mahut,J.Hajek,1,1,3,0,72,44,28,10,17,3,41,18,8,5,26,17,,6,6,6,NA,NA,70,34,30,14,4,0,24,13,1,0,19,12,,2,4,3,NA,NA
T.Robredo,A.Bogomolov Jr.,1,1,3,0,77,40,23,12,6,0,25,11,14,5,14,11,,6,6,6,NA,NA,79,35,21,8,1,4,16,27,0,0,22,13,,2,2,4,NA,NA
R.Haase,M.Youzhny,1,0,0,3,68,61,32,15,7,2,32,29,2,0,29,20,,4,5,5,NA,NA,67,53,33,17,9,3,40,26,21,3,44,30,,6,7,7,NA,NA
M.Gicquel,V.Pospisil,1,0,0,3,59,41,41,27,7,6,22,28,6,1,11,6,,3,2,6,NA,NA,70,56,30,11,25,3,53,30,12,4,33,26,,6,6,7,NA,NA
A.Kuznetsov,A.Montanes,1,1,3,1,63,56,37,21,21,3,56,32,16,4,21,15,,6,6,3,6,NA,73,59,27,14,7,8,33,28,9,2,11,10,,3,4,6,3,NA
J.Tipsarevic,V.Troicki,1,0,0,3,61,47,39,21,3,1,28,16,4,0,33,24,,3,4,6,NA,NA,71,55,29,16,15,2,40,26,10,2,38,27,,6,6,7,NA,NA
M.Baghdatis,M.Cilic,1,0,0,3,61,31,39,16,4,5,20,18,1,1,14,9,,3,4,4,NA,NA,70,45,30,16,16,2,41,19,6,4,11,8,,6,6,6,NA,NA
K.De Schepper,P.Lorenzi,1,1,3,0,67,56,33,21,22,6,61,29,8,3,47,35,,7,6,6,NA,NA,54,40,46,22,4,2,22,15,6,0,23,15,,6,4,2,NA,NA
L.Lacko,R.Ram,1,0,1,3,64,66,36,18,13,2,55,40,3,1,22,15,,5,4,7,2,NA,67,64,33,23,16,0,52,21,16,5,50,32,,7,6,6,6,NA
J.Monaco,B.Knittel,1,1,3,0,78,46,22,9,6,2,19,20,14,6,9,7,,6,6,6,NA,NA,58,33,42,17,4,12,17,44,1,1,21,14,,4,2,3,NA,NA
T.Kamke,J.Benneteau,1,0,1,3,69,60,31,14,3,2,33,33,7,2,34,25,,4,7,4,2,NA,63,65,37,26,12,6,60,27,12,6,61,44,,6,6,6,6,NA
F.Verdasco,X.Malisse,1,1,3,1,63,58,37,21,20,7,64,29,11,6,25,18,,6,6,6,6,NA,63,48,37,24,7,1,23,34,2,1,27,14,,7,1,4,3,NA
E.Roger-Vasselin,E.Gulbis,1,0,0,3,66,48,34,21,5,5,42,30,11,2,49,29,,6,4,5,NA,NA,65,59,35,20,20,6,55,36,8,4,26,17,,7,6,7,NA,NA
J-W.Tsonga,D.Goffin,1,1,3,0,68,54,32,15,18,2,47,13,6,3,48,32,,7,6,6,NA,NA,71,46,29,19,2,3,40,10,1,0,36,26,,6,4,3,NA,NA
V.Hanescu,R.Federer,1,0,0,3,85,26,15,3,3,1,14,13,0,0,22,8,,3,2,0,NA,NA,70,35,30,14,7,0,32,6,8,6,25,21,,6,6,6,NA,NA
